member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,earliest_cr_line,inq_last_6mths,open_acc,revol_util,total_acc,total_rec_prncp,issue_year,issue_month,issue_quarter,months_since_ecr,region,income_category
1306957,5600,5600,5600.0, 60 months,21.28,152.39,F,F2,4,OWN,40000.0,Source Verified,2011-12-01,Charged Off,small_business,CA,5.55,2004-04-01,2,11,32.6,13,162.02,2011,12,4,92,West,Low
1306721,5375,5375,5350.0, 60 months,12.69,121.45,B,B5,0,RENT,15000.0,Verified,2011-12-01,Charged Off,other,TX,18.08,2004-09-01,0,2,36.5,3,673.48,2011,12,4,87,SouthWest,Low
1298717,9000,9000,9000.0, 36 months,13.49,305.38,C,C1,0,RENT,30000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,VA,10.08,2004-04-01,1,4,91.7,9,1256.14,2011,12,4,92,SouthEast,Low
1303503,10000,10000,10000.0, 36 months,10.65,325.74,B,B2,3,RENT,100000.0,Source Verified,2011-12-01,Charged Off,other,CA,7.06,1991-05-01,2,14,55.5,29,5433.47,2011,12,4,247,West,Medium
1269083,21000,21000,21000.0, 36 months,12.42,701.73,B,B4,10,RENT,105000.0,Verified,2011-12-01,Charged Off,debt_consolidation,FL,13.22,1983-02-01,0,7,90.3,38,10694.96,2011,12,4,346,SouthEast,High
1304634,6000,6000,6000.0, 36 months,11.71,198.46,B,B3,1,RENT,76000.0,Not Verified,2011-12-01,Charged Off,major_purchase,CA,2.4,2001-06-01,1,7,29.7,7,1305.58,2011,12,4,126,West,Medium
1304679,15000,15000,8725.0, 36 months,14.27,514.64,C,C2,9,RENT,60000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,NY,15.22,2003-10-01,1,7,57.6,11,0.0,2011,12,4,98,NorthEast,Medium
1304764,5000,5000,5000.0, 60 months,16.77,123.65,D,D2,2,RENT,50004.0,Not Verified,2011-12-01,Charged Off,other,PA,13.97,2003-10-01,0,14,59.5,22,629.05,2011,12,4,98,NorthEast,Medium
1304521,5000,5000,5000.0, 36 months,8.9,158.77,A,A5,10,MORTGAGE,100000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,OH,16.33,1995-06-01,0,17,62.1,35,4217.38,2011,12,4,198,MidWest,Medium
1304123,15000,15000,15000.0, 36 months,9.91,483.38,B,B1,8,MORTGAGE,80000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,IL,9.12,1992-04-01,2,9,63.7,28,13556.45,2011,12,4,236,MidWest,Medium
1304116,12000,12000,12000.0, 36 months,15.96,421.65,C,C5,4,RENT,50000.0,Not Verified,2011-12-01,Charged Off,car,CA,20.88,2006-10-01,2,11,90.8,11,1903.66,2011,12,4,62,West,Low
1303652,21000,21000,20975.0, 60 months,19.91,555.33,E,E4,7,RENT,50000.0,Verified,2011-12-01,Charged Off,debt_consolidation,WA,21.58,1998-09-01,1,7,97.6,14,8990.81,2011,12,4,159,West,Low
1303778,10000,10000,9975.0, 60 months,10.65,215.69,B,B2,10,RENT,45996.0,Verified,2011-12-01,Charged Off,debt_consolidation,OH,21.73,1997-05-01,1,7,30.1,15,5495.38,2011,12,4,175,MidWest,Low
1303740,12500,8925,8925.0, 60 months,17.27,223.11,D,D3,5,RENT,30000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,MN,13.16,1995-04-01,0,7,70.8,28,2812.82,2011,12,4,200,MidWest,Low
1303528,8200,8200,8200.0, 60 months,21.28,223.14,F,F2,4,RENT,75000.0,Source Verified,2011-12-01,Charged Off,small_business,CA,12.48,2000-01-01,3,6,73.9,11,1525.83,2011,12,4,143,West,Medium
1292558,6400,6400,6400.0, 36 months,16.77,227.45,D,D2,5,RENT,75000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,CA,20.22,1994-12-01,0,9,67.5,27,3334.25,2011,12,4,204,West,Medium
1303143,17500,17500,17500.0, 60 months,17.27,437.47,D,D3,7,MORTGAGE,45000.0,Not Verified,2011-12-01,Charged Off,credit_card,WA,21.31,2002-09-01,2,13,86.1,26,3077.85,2011,12,4,111,West,Low
1302907,6200,6200,6200.0, 36 months,9.91,199.8,B,B1,2,RENT,25000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,CA,20.64,1998-05-01,2,7,47.7,12,1700.79,2011,12,4,163,West,Low
1302924,18825,18825,18800.0, 60 months,16.77,465.53,D,D2,10,RENT,38000.0,Verified,2011-12-01,Charged Off,debt_consolidation,TX,23.18,2004-12-01,0,6,79.7,7,8087.75,2011,12,4,84,SouthWest,Low
1302365,10000,10000,10000.0, 36 months,18.25,362.78,D,D5,1,RENT,75000.0,Source Verified,2011-12-01,Charged Off,credit_card,CA,24.14,1997-03-01,0,9,96.3,26,8320.22,2011,12,4,177,West,Medium
1302588,25000,25000,23088.16106, 60 months,13.49,575.12,C,C1,10,MORTGAGE,67000.0,Verified,2011-12-01,Charged Off,credit_card,AK,14.15,1999-08-01,0,6,91.2,21,13833.2,2011,12,4,148,West,Medium
1302360,19750,19750,19725.0, 36 months,10.65,643.33,B,B2,4,RENT,45000.0,Verified,2011-12-01,Charged Off,debt_consolidation,OR,22.8,2000-09-01,0,12,54.2,28,8590.58,2011,12,4,135,West,Low
1302564,28000,11800,11775.0, 60 months,19.91,312.04,E,E4,10,RENT,52000.0,Verified,2011-12-01,Charged Off,debt_consolidation,TX,20.7,1988-12-01,0,10,87.6,16,4281.54,2011,12,4,276,SouthWest,Medium
1300572,24000,24000,24000.0, 36 months,15.96,843.3,C,C5,8,MORTGAGE,90000.0,Source Verified,2011-12-01,Charged Off,home_improvement,CA,9.17,1995-06-01,1,9,71.2,23,3813.57,2011,12,4,198,West,Medium
1302472,11100,11100,11100.0, 36 months,6.62,340.82,A,A2,10,RENT,41000.0,Verified,2011-12-01,Charged Off,credit_card,PA,29.85,1991-01-01,1,8,62.3,18,6516.79,2011,12,4,251,NorthEast,Low
1302450,12000,12000,12000.0, 36 months,9.91,386.7,B,B1,2,RENT,42000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,MN,7.83,2006-06-01,2,8,65.4,16,9011.72,2011,12,4,66,MidWest,Low
1302151,10000,10000,10000.0, 36 months,11.71,330.76,B,B3,8,RENT,60000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,CA,22.08,2001-07-01,0,8,29.3,26,4293.91,2011,12,4,125,West,Medium
1302371,13475,13475,13450.0, 60 months,13.49,309.99,C,C1,10,RENT,25000.0,Verified,2011-12-01,Charged Off,credit_card,CA,21.89,2001-12-01,1,7,65.8,14,3516.74,2011,12,4,120,West,Low
1247741,5600,5600,5600.0, 36 months,14.65,193.17,C,C3,1,MORTGAGE,85000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,AZ,12.24,1999-05-01,3,8,90.8,31,905.39,2011,12,4,151,West,Medium
1302032,2500,2500,2500.0, 36 months,7.51,77.78,A,A3,10,OWN,12000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,CA,16.3,1994-08-01,2,13,42.2,20,1575.06,2011,12,4,208,West,Low
1301744,10000,10000,10000.0, 36 months,13.49,339.31,C,C1,5,RENT,65000.0,Not Verified,2011-12-01,Charged Off,small_business,CA,6.92,1999-12-01,2,12,69.5,17,6799.56,2011,12,4,144,West,Medium
1301933,7750,7750,7750.0, 36 months,17.27,277.36,D,D3,0,RENT,24000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,IL,16.1,2004-09-01,1,4,67.1,7,4935.39,2011,12,4,87,MidWest,Low
1294536,20000,20000,20000.0, 60 months,20.89,539.84,F,F1,6,RENT,70000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,FL,16.63,2002-11-01,1,10,79.9,24,1318.27,2011,12,4,109,SouthEast,Medium
1301506,21000,21000,21000.0, 60 months,11.71,464.07,B,B3,3,RENT,60000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,CA,6.62,1990-12-01,0,7,79.9,11,2142.87,2011,12,4,252,West,Medium
1301699,15000,15000,15000.0, 36 months,16.77,533.08,D,D2,10,RENT,42000.0,Verified,2011-12-01,Charged Off,debt_consolidation,WI,19.63,2001-08-01,2,10,74.9,38,8365.66,2011,12,4,124,MidWest,Low
1301481,15000,15000,15000.0, 36 months,17.27,536.81,D,D3,8,RENT,75000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,CA,16.03,1991-03-01,0,10,75.9,17,6944.85,2011,12,4,249,West,Medium
1301632,16000,16000,16000.0, 36 months,12.69,536.72,B,B5,1,RENT,58500.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,IL,20.64,1994-09-01,0,8,89.3,10,9479.47,2011,12,4,207,MidWest,Medium
1301405,12000,12000,12000.0, 36 months,14.27,411.71,C,C2,8,MORTGAGE,70000.0,Not Verified,2011-12-01,Charged Off,other,NY,8.4,2005-08-01,1,7,86.2,12,2534.26,2011,12,4,76,NorthEast,Medium
1260676,13650,13650,13650.0, 36 months,12.42,456.12,B,B4,10,MORTGAGE,86000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,CA,12.29,1994-05-01,1,12,73.4,34,5810.73,2011,12,4,211,West,Medium
1301027,10500,10500,10500.0, 36 months,16.29,370.66,D,D1,3,RENT,30000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,CA,15.0,2007-11-01,1,7,55.5,8,1414.89,2011,12,4,49,West,Low
1295793,15075,15075,15075.0, 36 months,14.27,517.21,C,C2,10,RENT,35000.0,Verified,2011-12-01,Charged Off,debt_consolidation,TX,20.16,2000-08-01,1,7,89.6,14,11609.04,2011,12,4,136,SouthWest,Low
1300982,9500,9500,9500.0, 36 months,12.69,318.68,B,B5,0,MORTGAGE,52500.0,Source Verified,2011-12-01,Charged Off,moving,CA,23.54,1999-07-01,2,14,75.3,42,5366.65,2011,12,4,149,West,Medium
1300949,7200,7200,7200.0, 36 months,7.9,225.29,A,A4,3,RENT,68000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,GA,7.98,2002-01-01,0,5,82.9,14,6744.17,2011,12,4,119,SouthEast,Medium
1300801,26000,26000,25975.0, 60 months,16.77,642.96,D,D2,10,MORTGAGE,53000.0,Verified,2011-12-01,Charged Off,home_improvement,NC,11.77,1998-09-01,1,5,72.7,14,3946.3,2011,12,4,159,SouthEast,Medium
1299754,7000,7000,6975.0, 60 months,11.71,154.69,B,B3,6,MORTGAGE,69600.0,Verified,2011-12-01,Charged Off,credit_card,WA,26.22,1979-10-01,0,10,90.9,23,3452.36,2011,12,4,386,West,Medium
1300476,10000,10000,10000.0, 36 months,12.69,335.45,B,B5,2,RENT,70000.0,Not Verified,2011-12-01,Charged Off,credit_card,CA,2.69,2000-10-01,0,5,70.2,6,4513.35,2011,12,4,134,West,Medium
1300716,15600,15600,15600.0, 60 months,12.69,352.48,B,B5,10,RENT,50000.0,Source Verified,2011-12-01,Charged Off,vacation,NY,5.78,2003-06-01,1,8,35.7,11,11631.87,2011,12,4,102,NorthEast,Low
1279867,4000,4000,4000.0, 36 months,12.69,134.18,B,B5,2,RENT,25000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,CO,6.86,2005-02-01,3,5,79.7,13,1373.86,2011,12,4,82,West,Low
1300594,10000,10000,10000.0, 36 months,12.42,334.16,B,B4,10,RENT,39000.0,Source Verified,2011-12-01,Charged Off,credit_card,MO,18.31,1998-08-01,1,7,90.6,19,9635.96,2011,12,4,160,MidWest,Low
1300514,12000,12000,12000.0, 36 months,8.9,381.04,A,A5,7,RENT,80000.0,Not Verified,2011-12-01,Charged Off,other,CA,9.13,2003-10-01,0,8,83.5,16,8330.52,2011,12,4,98,West,Medium
1296011,16000,16000,16000.0, 60 months,13.49,368.08,C,C1,10,RENT,35000.0,Verified,2011-12-01,Charged Off,small_business,NC,16.22,2002-07-01,1,6,58.5,14,5147.59,2011,12,4,113,SouthEast,Low
1300264,11875,11875,11875.0, 60 months,12.69,268.32,B,B5,0,RENT,25920.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,CA,23.75,2001-04-01,0,8,94.1,28,285.76,2011,12,4,128,West,Low
1300216,14000,14000,14000.0, 36 months,7.9,438.07,A,A4,10,OWN,45600.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,WV,19.74,1992-06-01,0,5,63.9,10,5053.24,2011,12,4,234,SouthEast,Low
1298879,8000,8000,8000.0, 36 months,16.29,282.41,D,D1,5,RENT,50000.0,Not Verified,2011-12-01,Charged Off,credit_card,NV,13.22,2005-11-01,0,9,72.9,12,2798.78,2011,12,4,73,West,Low
1299629,18000,18000,18000.0, 60 months,16.77,445.13,D,D2,6,OWN,40000.0,Not Verified,2011-12-01,Charged Off,home_improvement,CA,18.42,2000-11-01,3,7,73.4,20,4677.94,2011,12,4,133,West,Low
1293410,20000,20000,19975.0, 60 months,20.3,533.23,E,E5,10,OWN,59000.0,Verified,2011-12-01,Charged Off,debt_consolidation,AK,20.91,2000-08-01,2,16,83.1,32,6317.7,2011,12,4,136,West,Medium
1299576,9000,9000,9000.0, 60 months,19.91,238.0,E,E4,3,RENT,60000.0,Verified,2011-12-01,Charged Off,credit_card,CA,22.56,1997-12-01,1,17,91.1,30,2327.73,2011,12,4,168,West,Medium
1299755,25000,25000,24975.0, 60 months,18.64,643.58,E,E1,10,RENT,61500.0,Verified,2011-12-01,Charged Off,debt_consolidation,NY,12.6,2000-04-01,0,11,60.8,25,13993.4,2011,12,4,140,NorthEast,Medium
1296692,20000,20000,19975.0, 60 months,15.27,478.64,C,C4,10,OWN,78216.0,Verified,2011-12-01,Charged Off,debt_consolidation,CA,10.79,1995-07-01,1,8,80.3,21,2367.51,2011,12,4,197,West,Medium
1294261,18000,18000,17975.0, 60 months,17.27,449.97,D,D3,1,MORTGAGE,62000.0,Verified,2011-12-01,Charged Off,debt_consolidation,VA,7.82,1988-08-01,2,8,86.7,30,11594.61,2011,12,4,280,SouthEast,Medium
1299443,5000,5000,5000.0, 36 months,12.42,167.08,B,B4,2,RENT,30000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,SC,23.84,2001-06-01,2,8,89.7,40,587.51,2011,12,4,126,SouthEast,Low
1299388,12000,12000,12000.0, 36 months,9.91,386.7,B,B1,10,RENT,55000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,RI,13.0,1998-03-01,0,10,75.5,17,4244.34,2011,12,4,165,NorthEast,Medium
1299180,10000,10000,10000.0, 36 months,11.71,330.76,B,B3,5,RENT,32000.0,Not Verified,2011-12-01,Charged Off,credit_card,FL,21.83,2001-10-01,0,11,59.6,23,1186.67,2011,12,4,122,SouthEast,Low
1299335,24000,24000,24000.0, 36 months,8.9,762.08,A,A5,10,MORTGAGE,116400.0,Verified,2011-12-01,Charged Off,car,FL,3.94,1992-12-01,4,14,8.1,31,6036.95,2011,12,4,228,SouthEast,High
1291228,12000,12000,12000.0, 36 months,11.71,396.92,B,B3,10,RENT,57200.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,MA,16.36,2000-05-01,0,11,68.5,17,2613.54,2011,12,4,139,NorthEast,Medium
1299063,10000,10000,10000.0, 36 months,12.69,335.45,B,B5,2,RENT,35000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,KY,12.03,2000-04-01,1,10,84.6,15,5358.77,2011,12,4,140,SouthEast,Low
1294105,9750,9750,9750.0, 36 months,7.51,303.34,A,A3,4,RENT,35000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,HI,29.04,1996-09-01,1,9,51.7,19,4327.31,2011,12,4,183,West,Low
1298795,25000,25000,23505.29384, 60 months,19.42,654.31,E,E3,10,RENT,60000.0,Verified,2011-12-01,Charged Off,credit_card,CA,20.04,2000-08-01,0,12,94.9,24,11624.71,2011,12,4,136,West,Medium
1298762,8875,8875,8875.0, 36 months,12.69,297.72,B,B5,5,MORTGAGE,35360.0,Verified,2011-12-01,Charged Off,debt_consolidation,PA,23.11,2005-09-01,1,9,71.1,13,1251.86,2011,12,4,75,NorthEast,Low
1298456,12000,12000,12000.0, 36 months,8.9,381.04,A,A5,3,RENT,32000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,OR,6.75,2005-11-01,0,9,59.2,12,6603.89,2011,12,4,73,West,Low
1288419,15000,15000,14224.10774, 60 months,12.69,338.93,B,B5,3,OWN,30000.0,Verified,2011-12-01,Charged Off,debt_consolidation,NJ,24.76,2004-06-01,1,7,65.7,17,4881.73,2011,12,4,90,NorthEast,Low
1298613,8050,8050,8050.0, 36 months,12.69,270.04,B,B5,1,RENT,36000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,WA,14.8,2007-05-01,0,4,81.3,7,748.57,2011,12,4,55,West,Low
1298422,6000,6000,6000.0, 60 months,7.9,121.38,A,A4,0,RENT,30084.0,Verified,2011-12-01,Charged Off,debt_consolidation,KY,1.68,1994-07-01,0,6,10.0,15,2298.98,2011,12,4,209,SouthEast,Low
1298041,1500,1500,1500.0, 36 months,18.64,54.72,E,E1,0,RENT,17000.0,Source Verified,2011-12-01,Charged Off,other,OH,4.59,2007-09-01,3,10,99.8,15,300.67,2011,12,4,51,MidWest,Low
1265435,20000,16925,11925.0, 60 months,14.65,399.55,C,C3,10,RENT,75000.0,Verified,2011-12-01,Charged Off,debt_consolidation,CA,16.51,1995-11-01,2,10,74.9,16,1819.26,2011,12,4,193,West,Medium
1298164,1000,1000,1000.0, 36 months,14.65,34.5,C,C3,10,RENT,18408.0,Not Verified,2011-12-01,Charged Off,major_purchase,NJ,6.0,1993-04-01,2,3,83.7,8,22.24,2011,12,4,224,NorthEast,Low
1298144,8500,8500,8500.0, 36 months,14.27,291.63,C,C2,9,RENT,50000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,PA,8.5,2004-11-01,2,15,61.5,27,1378.65,2011,12,4,85,NorthEast,Low
1297930,18000,18000,17836.5806, 60 months,11.71,397.77,B,B3,0,RENT,40000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,AZ,18.18,1999-12-01,0,6,68.8,12,5690.48,2011,12,4,144,West,Low
1298122,20000,20000,19523.20774, 60 months,16.77,494.59,D,D2,10,RENT,60000.0,Verified,2011-12-01,Charged Off,debt_consolidation,CA,9.46,1995-03-01,2,13,41.0,30,9606.12,2011,12,4,201,West,Medium
1296522,14400,14400,14400.0, 36 months,18.25,522.41,D,D5,5,RENT,51871.0,Verified,2011-12-01,Charged Off,debt_consolidation,RI,7.82,2006-03-01,0,5,79.3,9,4684.23,2011,12,4,69,NorthEast,Medium
1296355,4200,4200,4200.0, 60 months,17.27,105.0,D,D3,9,RENT,43000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,AZ,10.13,1996-11-01,1,9,77.0,19,2381.46,2011,12,4,181,West,Low
1296348,3000,3000,3000.0, 36 months,10.65,97.72,B,B2,10,MORTGAGE,86004.0,Not Verified,2011-12-01,Charged Off,other,NJ,13.37,1997-12-01,2,8,64.6,35,1629.41,2011,12,4,168,NorthEast,Medium
1296342,15000,15000,15000.0, 36 months,16.29,529.51,D,D1,1,RENT,110000.0,Verified,2011-12-01,Charged Off,small_business,TX,21.99,1998-11-01,0,12,84.1,24,655.77,2011,12,4,157,SouthWest,High
1296259,10000,10000,10000.0, 36 months,17.27,357.88,D,D3,8,RENT,68000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,MT,17.15,2002-03-01,1,7,92.5,16,6067.35,2011,12,4,117,West,Medium
1288982,16000,16000,16000.0, 36 months,7.9,500.65,A,A4,1,RENT,51000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,AZ,24.66,1992-12-01,0,8,81.0,28,9323.14,2011,12,4,228,West,Medium
1296012,2200,2200,2200.0, 36 months,15.27,76.56,C,C4,10,OWN,48000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,TX,5.47,2000-05-01,3,3,83.7,7,353.21,2011,12,4,139,SouthWest,Low
1295979,8000,8000,8000.0, 60 months,8.9,165.68,A,A5,1,RENT,51204.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,NY,25.12,1987-08-01,0,16,37.6,40,3271.74,2011,12,4,292,NorthEast,Medium
1291351,12000,12000,11975.0, 60 months,14.65,283.28,C,C3,0,RENT,75000.0,Verified,2011-12-01,Charged Off,credit_card,HI,16.13,2000-11-01,3,14,89.4,28,3606.06,2011,12,4,133,West,Medium
1295567,21250,21250,21250.0, 36 months,12.42,710.08,B,B4,5,RENT,37000.0,Verified,2011-12-01,Charged Off,other,NJ,14.27,2000-05-01,1,8,69.3,21,6569.76,2011,12,4,139,NorthEast,Low
1295086,15000,15000,15000.0, 36 months,15.27,521.97,C,C4,10,RENT,60000.0,Verified,2011-12-01,Charged Off,debt_consolidation,NY,10.72,2002-04-01,2,7,75.2,18,3871.69,2011,12,4,116,NorthEast,Medium
1295405,4000,4000,4000.0, 36 months,12.69,134.18,B,B5,6,RENT,30000.0,Not Verified,2011-12-01,Charged Off,home_improvement,FL,17.6,1996-03-01,1,8,5.5,20,1481.95,2011,12,4,189,SouthEast,Low
1295062,4000,4000,4000.0, 60 months,19.91,105.78,E,E4,10,RENT,45000.0,Source Verified,2011-12-01,Charged Off,house,PA,15.2,1996-03-01,3,5,22.4,11,660.29,2011,12,4,189,NorthEast,Low
1295380,1700,1700,1700.0, 36 months,7.9,53.2,A,A4,10,MORTGAGE,37800.0,Not Verified,2011-12-01,Charged Off,home_improvement,CO,27.0,1979-07-01,0,9,91.2,27,940.44,2011,12,4,389,West,Low
1291111,12000,12000,12000.0, 36 months,14.65,413.94,C,C3,6,RENT,54400.0,Verified,2011-12-01,Charged Off,debt_consolidation,WA,13.81,1998-11-01,1,14,60.2,33,8359.5,2011,12,4,157,West,Medium
